"Name","Count","Chance","Weight","Comment"
,,,,
"1 time","--","--","--",
"minecraft:warped_nylium","1","0.92%","1/109",
"minecraft:quartz","1..4","0.92%","1/109",
"minecraft:obsidian","1","0.92%","1/109",
"minecraft:glowstone_dust","2..4","1.8%","2/109",
"minecraft:magma_cream","1..3","1.8%","2/109",
"minecraft:ender_pearl","2..4","1.8%","2/109",
"minecraft:shroomlight","1","4.6%","5/109",
"minecraft:fire_charge","1","4.6%","5/109",
"minecraft:gravel","4..12","4.6%","5/109",
"minecraft:porkchop","2..5","4.6%","5/109",
"minecraft:leather","2..7","4.6%","5/109",
"minecraft:warped_fungi","1..2","4.6%","5/109",
"minecraft:soul_sand","1..4","9.2%","10/109",
"minecraft:red_mushroom","1..4","9.2%","10/109",
"minecraft:brown_mushroom","1..4","9.2%","10/109",
"minecraft:flint","3..8","9.2%","10/109",
"minecraft:rotten_flesh","4..12","9.2%","10/109",
"minecraft:crimson_fungi","1..4","9.2%","10/109",
"minecraft:nether_brick","1..4","9.2%","10/109",
